"user_id","position","department","type","leave_type","dates","time_start","time_in","time_in_diff_minutes","time_in_status","time_end","time_out","time_out_diff_minutes","time_out_status","dayoftheweek"
"83894","Nurse","Medical","work","work","2022-01-26","08:00:00","07:59:22",0.63,"On TIme","15:00:00","15:13:56",-13.93,"On TIme","Wednesday"
"83894","Nurse","Medical","work","work","2022-01-27","08:00:00","07:54:40",5.33,"On TIme","15:00:00","15:23:16",-23.27,"On TIme","Thursday "
"88347","Marketing Staff","Support Centre","work","work","2022-03-04","08:00:00","08:09:32",-9.53,"On TIme","17:00:00","17:03:58",-3.97,"On TIme","Friday   "
"88357","Warehouse Staff","PBF","work","work","2022-02-02","08:00:00","07:45:15",14.75,"On TIme","17:00:00","17:05:55",-5.92,"On TIme","Wednesday"
"88357","Warehouse Staff","PBF","work","work","2022-02-03","08:00:00","07:56:12",3.8,"On TIme","17:00:00","17:11:25",-11.42,"On TIme","Thursday "
"88357","Warehouse Staff","PBF","work","work","2022-02-04","08:00:00","07:53:42",6.3,"On TIme","17:00:00","17:08:42",-8.7,"On TIme","Friday   "
"88357","Warehouse Staff","PBF","work","work","2022-02-07","08:00:00","07:55:07",4.88,"On TIme","17:00:00","17:03:29",-3.48,"On TIme","Monday   "
"88357","Warehouse Staff","PBF","work","work","2022-02-08","08:00:00","08:53:06",-53.1,"Late","17:00:00","17:06:33",-6.55,"On TIme","Tuesday  "
"88357","Warehouse Staff","PBF","work","work","2022-02-09","08:00:00","07:56:07",3.88,"On TIme","17:00:00","17:07:24",-7.4,"On TIme","Wednesday"
"88357","Warehouse Staff","PBF","work","work","2022-02-15","08:00:00","07:57:29",2.52,"On TIme","17:00:00","17:04:53",-4.88,"On TIme","Tuesday  "
"88357","Warehouse Staff","PBF","work","work","2022-02-16","08:00:00","07:53:50",6.17,"On TIme","17:00:00","17:10:47",-10.78,"On TIme","Wednesday"
"88357","Warehouse Staff","PBF","work","work","2022-02-17","08:00:00","07:57:22",2.63,"On TIme","17:00:00","17:09:11",-9.18,"On TIme","Thursday "
"88357","Warehouse Staff","PBF","work","work","2022-02-18","08:00:00","07:53:44",6.27,"On TIme","17:00:00","17:03:33",-3.55,"On TIme","Friday   "
"88357","Warehouse Staff","PBF","work","work","2022-02-19","08:00:00","07:54:25",5.58,"On TIme","13:00:00","13:02:19",-2.32,"On TIme","Saturday "
"88357","Warehouse Staff","PBF","work","work","2022-02-22","08:00:00","07:58:52",1.13,"On TIme","17:00:00","17:08:01",-8.02,"On TIme","Tuesday  "
"88357","Warehouse Staff","PBF","work","work","2022-02-23","08:00:00","07:54:58",5.03,"On TIme","17:00:00","18:49:51",-109.85,"On TIme","Wednesday"
"88357","Warehouse Staff","PBF","work","work","2022-02-24","08:00:00","08:01:21",-1.35,"On TIme","17:00:00","17:20:24",-20.4,"On TIme","Thursday "
"88357","Warehouse Staff","PBF","work","work","2022-02-25","08:00:00","07:55:08",4.87,"On TIme","17:00:00","17:18:30",-18.5,"On TIme","Friday   "
"88357","Warehouse Staff","PBF","work","work","2022-02-26","08:00:00","07:54:33",5.45,"On TIme","13:00:00","13:16:28",-16.47,"On TIme","Saturday "
"90710","Nurse","Medical","leave","sick","2022-02-14","03:00:00","03:00:00",0.0,"On TIme","03:00:00","03:00:00",0.0,"On TIme","Monday   "
"90377","No Data","Support Centre","work","work","2022-07-23","08:00:00","07:05:40",54.33,"On TIme","17:00:00","16:55:55",4.08,"Early Out","Saturday "
"90377","No Data","Support Centre","work","work","2022-07-25","08:00:00","06:58:11",61.82,"On TIme","17:00:00","17:04:56",-4.93,"On TIme","Monday   "
